パラメータ  default.aurora5.6   default.aurora-mysql8.0
replicate-wild-do-table		<engine-default>
replicate-wild-ignore-table		<engine-default>
replica_transaction_retries		<engine-default>
replica_type_conversions		<engine-default>
require_secure_transport		<engine-default>
rpl_read_size		<engine-default>
schema_definition_cache		<engine-default>
skip-replica-start		1
source_verify_checksum		<engine-default>
stored_program_definition_cache		<engine-default>
sync_source_info		<engine-default>
tablespace_definition_cache		<engine-default>
temptable_max_mmap		1073741824
temptable_max_ram		1073741824
temptable_use_mmap		1
tls_version		<engine-default>
transaction_isolation		<engine-default>
windowing_use_high_precision		<engine-default>
