名前,種別,v1クラスタ,v1DB,v3クラスタ,v3DB,v1初期値,v1変更,v1ソース,v3初期値,v3変更,v3ソース,備考
log_slow_replica_statements,追加,,,○,○,,,,0,TRUE,engine-default,
log_warnings,削除,○,○,,,1,TRUE,engine-default,,,,
mandatory_roles,追加,,,○,,,,,,TRUE,engine-default,
master_verify_checksum,削除,○,,,,0,TRUE,engine-default,,,,source_verify_checksumへ
master-info-repository,削除,○,,,,TABLE,TRUE,system,,,,
max_allowed_packet,変更,○,○,○,○,4194304,TRUE,engine-default,67108864,TRUE,engine-default,
max_error_count,変更,○,○,○,○,64,TRUE,engine-default,1024,TRUE,engine-default,
max_execution_time,追加,,,○,○,,,,0,TRUE,engine-default,
max_length_for_sort_data,削除,○,○,,,1024,TRUE,engine-default,,,,
max_points_in_geometry,追加,,,○,○,,,,65536,FALSE,engine-default,
max_tmp_tables,削除,○,○,,,0,TRUE,engine-default,,,,
metadata_locks_cache_size,削除,○,○,,,1024,TRUE,engine-default,,,,
mysql_native_password_proxy_users,追加,,,○,,,,,0,TRUE,engine-default,
ngram_token_size,追加,,,○,,,,,2,TRUE,engine-default,
old_passwords,削除,○,○,,,0,TRUE,engine-default,,,,
optimizer_trace_max_mem_size,変更,○,○,○,○,16384,TRUE,engine-default,1048576,TRUE,engine-default,
partial_revokes,追加,,,○,,,,,0,FALSE,engine-default,
performance_schema_events_transactions_history_long_size,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_events_transactions_history_size,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_cond_classes,変更,○,○,○,○,80,TRUE,engine-default,100,TRUE,engine-default,
performance_schema_max_digest_sample_age,追加,,,○,○,,,,60,TRUE,engine-default,
performance_schema_max_file_classes,変更,○,○,○,○,50,TRUE,engine-default,80,TRUE,engine-default,
performance_schema_max_index_stat,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_memory_classes,追加,,,○,○,,,,450,TRUE,engine-default,
performance_schema_max_metadata_locks,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_mutex_classes,変更,○,○,○,○,200,TRUE,engine-default,300,TRUE,engine-default,
performance_schema_max_prepared_statements_instances,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_program_instances,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_rwlock_classes,変更,○,○,○,○,30,TRUE,engine-default,60,TRUE,engine-default,
performance_schema_max_sql_text_length,追加,,,○,○,,,,1024,TRUE,engine-default,
performance_schema_max_stage_classes,変更,○,○,○,○,150,TRUE,engine-default,175,TRUE,engine-default,
performance_schema_max_statement_stack,追加,,,○,○,,,,10,TRUE,engine-default,
performance_schema_max_table_lock_stat,追加,,,○,○,,,,(-1),TRUE,engine-default,
performance_schema_max_thread_classes,変更,○,○,○,○,50,TRUE,engine-default,100,TRUE,engine-default,
performance_schema_setup_actors_size,変更,○,○,○,○,100,TRUE,engine-default,(-1),TRUE,engine-default,
performance_schema_setup_objects_size,変更,○,○,○,○,100,TRUE,engine-default,(-1),TRUE,engine-default,
performance_schema_show_processlist,追加,,,○,○,,,,0,TRUE,engine-default,
plugin_dir,変更,○,○,○,○,,FALSE,system,(BASEDIR/lib/plugin),FALSE,system,
query_cache_limit,削除,○,○,,,1048576,TRUE,engine-default,,,,クエリキャッシュ廃止
query_cache_min_res_unit,削除,○,○,,,4096,TRUE,engine-default,,,,クエリキャッシュ廃止
query_cache_size,削除,○,○,,,{DBInstanceClassMemory/24},TRUE,system,,,,クエリキャッシュ廃止
query_cache_type,削除,○,○,,,1,TRUE,system,,,,クエリキャッシュ廃止
query_cache_wlock_invalidate,削除,○,○,,,0,TRUE,engine-default,,,,クエリキャッシュ廃止
range_optimizer_max_mem_size,追加,,,○,○,,,,8388608,TRUE,engine-default,
rds.change_data_capture_streaming,追加,,,○,,,,,,TRUE,system,
read_only,変更,○,○,○,,{TrueIfReplica},TRUE,system,0,TRUE,system,
regexp_stack_limit,追加,,,○,○,,,,8000000,TRUE,engine-default,
regexp_time_limit,追加,,,○,○,,,,32,TRUE,engine-default,
relay_log_info_repository,削除,○,○,,,TABLE,TRUE,system,,,,
relay-log-space-limit,追加,,,○,,,,,0,TRUE,engine-default,
replica_checkpoint_group,追加,,,○,○,,,,512,TRUE,engine-default,
replica_checkpoint_period,追加,,,○,○,,,,300,TRUE,engine-default,
replica_parallel_type,追加,,,○,,,,,DATABASE,TRUE,engine-default,
replica_parallel_workers,追加,,,○,○,,,,0,TRUE,engine-default,
replica_pending_jobs_size_max,追加,,,○,○,,,,134217728,TRUE,engine-default,
replica_preserve_commit_order,追加,,,○,,,,,OFF,TRUE,engine-default,
replica_sql_verify_checksum,追加,,,○,○,,,,1,TRUE,engine-default,
replica_transaction_retries,追加,,,○,,,,,10,TRUE,engine-default,
replica_type_conversions,追加,,,○,,,,,,TRUE,engine-default,
replica-skip-errors,追加,,,○,,,,,OFF,TRUE,engine-default,
replicate-do-db,追加,,,○,,,,,,TRUE,engine-default,
replicate-do-table,追加,,,○,,,,,,TRUE,engine-default,
replicate-ignore-db,追加,,,○,,,,,,TRUE,engine-default,
replicate-ignore-table,追加,,,○,,,,,,TRUE,engine-default,
replicate-wild-do-table,追加,,,○,,,,,,TRUE,engine-default,
replicate-wild-ignore-table,追加,,,○,,,,,,TRUE,engine-default,
require_secure_transport,追加,,,○,,,,,OFF,TRUE,engine-default,
rpl_read_size,追加,,,○,,,,,8192,TRUE,engine-default,
schema_definition_cache,追加,,,○,○,,,,256,TRUE,engine-default,
secure_auth,削除,○,○,,,1,TRUE,engine-default,,,,
server_audit_logging,変更,○,,○,,0,TRUE,engine-default,,TRUE,engine-default,
skip-replica-start,追加,,,○,○,,,,1,FALSE,system,
skip-slave-start,削除,○,○,,,1,FALSE,system,,,,skip-replica-startへ
slave_checkpoint_group,削除,○,○,,,512,TRUE,engine-default,,,,replica_checkpoint_groupへ
slave_checkpoint_period,削除,○,○,,,300,TRUE,engine-default,,,,replica_checkpoint_periodへ
slave_parallel_workers,削除,○,○,,,0,TRUE,engine-default,,,,replica_parallel_workersへ
slave_pending_jobs_size_max,削除,○,○,,,16777216,TRUE,engine-default,,,,replica_pending_jobs_size_maxへ
slave_sql_verify_checksum,削除,○,○,,,1,TRUE,engine-default,,,,replica_sql_verify_checksumへ
slave_type_conversions,削除,○,,,,,TRUE,engine-default,,,,replica_type_conversionsへ
source_verify_checksum,追加,,,○,,,,,0,TRUE,engine-default,
ssl_cipher,削除,○,,,,"AES256-SHA,AES128-SHA,DES-CBC3-SHA,ADH-DES-CBC3-SHA,EDH-RSA-DES-CBC3-SHA,EDH-DSS-DES-CBC3-SHA,ADH-AES256-SHA,DHE-RSA-AES256-SHA,DHE-DSS-AES256-SHA,ADH-AES128-SHA,DHE-RSA-AES128-SHA,DHE-DSS-AES128-SHA,HIGH",TRUE,system,,,,
stored_program_definition_cache,追加,,,○,○,,,,256,TRUE,engine-default,
sync_frm,削除,○,,,,1,TRUE,engine-default,,,,
sync_master_info,削除,○,○,,,10000,TRUE,engine-default,,,,sync_source_infoへ
sync_relay_log,削除,○,○,,,10000,TRUE,engine-default,,,,
sync_source_info,追加,,,○,○,,,,10000,TRUE,engine-default,
tablespace_definition_cache,追加,,,○,○,,,,256,TRUE,engine-default,
temp-pool,削除,○,○,,,1,TRUE,engine-default,,,,
temptable_max_mmap,追加,,,○,○,,,,1073741824,TRUE,engine-default,
temptable_max_ram,追加,,,○,○,,,,1073741824,TRUE,engine-default,
temptable_use_mmap,追加,,,○,○,,,,1,TRUE,engine-default,
thread_handling,変更,○,○,○,○,multiple-connections-per-thread,FALSE,system,thread-pools,FALSE,system,
timed_mutexes,削除,○,○,,,0,TRUE,engine-default,,,,
tls_version,追加,,,○,,,,,"TLSv1,TLSv1.1,TLSv1.2,TLSv1.3",TRUE,engine-default,
transaction_isolation,追加,,,○,○,,,,REPEATABLE-READ,TRUE,engine-default,
tx_isolation,削除,○,○,,,REPEATABLE-READ,TRUE,engine-default,,,,transaction_isolationへ
windowing_use_high_precision,追加,,,○,○,,,,1,TRUE,engine-default,
